Model,Vol.,Size cm,Weight +/- 6%,Fins,Rec. Sails,Item N°
360 EVOLUTION SOFTSKIN V2 XS,135,248x72,9.5 Kgs,ZX 44 Wet Layup,4.0-7.0,RD12XS360SK
360 EVOLUTION SOFTSKIN V2 S,145,249x75,"10,3 Kgs",ZX 46 Wet Layup,4.5-7.5,RD12S360SK
360 EVOLUTION SOFTSKIN V2 M,155,251x78,10.9 Kgs,ZX 46 Wet Layup,5.0-8.0,RD12M360SK
360 EVOLUTION SOFTSKIN V2 L,158,257x81,11.6 Kgs,SLALOM 34 + ALGEIER DAGGERBOARD,1.5-8.0,RD12L360SK
360 EVOLUTION SOFTSKIN V2 L W/O DAGGER,158,257x81,11.3 Kgs,ZX 46 WET LAYuP,1.5-8.0,12L360SKND
EASYRIDE SOFTSKIN V2  S,166,260x80,"12,5Kgs",SLALOM 34 + ALGEIER DAGGERBOARD,1.0-7.5,RD11ERSSK
EASYRIDE SOFTSKIN V2  M,180,260x85,13 Kgs,SLALOM 34 + ALGEIER DAGGERBOARD,1.0-8.0,RD11ERMSK
EASYRIDE SOFTSKIN V2  L,220,270x100,"14,5Kgs",SLALOM 34 + ALGEIER DAGGERBOARD,1.0-8.0,RD11ERLSK
EASYJOY V2 SOFTSKIN,110,233x67,"8,7Kgs",2X34 SLALOM  PB,1.0-6.5,13EJSK
WAVEJOY V2 X-TECH,64,229x53,"6,7Kgs",MFC GOMWAVE 19,2.5-5.0,13WJV2X
LONGRIDER,180,340x70,"14,2Kgs",MFC FREEWAVE 34 + LONG ALGEIR DAGGERBOARD,3.5-7.5,RD11LRV2
